date_id,date,year,quarter,month,day,iso_week,iso_dow,is_weekend,is_month_start,is_month_end
20210222,2021-02-22,2021,1,2,22,8,1,False,False,False
20210223,2021-02-23,2021,1,2,23,8,2,False,False,False
20210224,2021-02-24,2021,1,2,24,8,3,False,False,False
20210225,2021-02-25,2021,1,2,25,8,4,False,False,False
20210226,2021-02-26,2021,1,2,26,8,5,False,False,False
20210227,2021-02-27,2021,1,2,27,8,6,True,False,False
20210228,2021-02-28,2021,1,2,28,8,7,True,False,True
20210301,2021-03-01,2021,1,3,1,9,1,False,True,False
20210302,2021-03-02,2021,1,3,2,9,2,False,False,False
20210303,2021-03-03,2021,1,3,3,9,3,False,False,False
20210304,2021-03-04,2021,1,3,4,9,4,False,False,False
20210305,2021-03-05,2021,1,3,5,9,5,False,False,False
20210306,2021-03-06,2021,1,3,6,9,6,True,False,False
20210307,2021-03-07,2021,1,3,7,9,7,True,False,False
20210308,2021-03-08,2021,1,3,8,10,1,False,False,False
20210309,2021-03-09,2021,1,3,9,10,2,False,False,False
20210310,2021-03-10,2021,1,3,10,10,3,False,False,False
20210311,2021-03-11,2021,1,3,11,10,4,False,False,False
20210312,2021-03-12,2021,1,3,12,10,5,False,False,False
20210313,2021-03-13,2021,1,3,13,10,6,True,False,False
20210314,2021-03-14,2021,1,3,14,10,7,True,False,False
20210315,2021-03-15,2021,1,3,15,11,1,False,False,False
20210316,2021-03-16,2021,1,3,16,11,2,False,False,False
20210317,2021-03-17,2021,1,3,17,11,3,False,False,False
20210318,2021-03-18,2021,1,3,18,11,4,False,False,False
20210319,2021-03-19,2021,1,3,19,11,5,False,False,False
20210320,2021-03-20,2021,1,3,20,11,6,True,False,False
20210321,2021-03-21,2021,1,3,21,11,7,True,False,False
20210322,2021-03-22,2021,1,3,22,12,1,False,False,False
20210323,2021-03-23,2021,1,3,23,12,2,False,False,False
20210324,2021-03-24,2021,1,3,24,12,3,False,False,False
20210325,2021-03-25,2021,1,3,25,12,4,False,False,False
20210326,2021-03-26,2021,1,3,26,12,5,False,False,False
20210327,2021-03-27,2021,1,3,27,12,6,True,False,False
20210328,2021-03-28,2021,1,3,28,12,7,True,False,False
20210329,2021-03-29,2021,1,3,29,13,1,False,False,False
20210330,2021-03-30,2021,1,3,30,13,2,False,False,False
20210331,2021-03-31,2021,1,3,31,13,3,False,False,True
20210401,2021-04-01,2021,2,4,1,13,4,False,True,False
20210402,2021-04-02,2021,2,4,2,13,5,False,False,False
20210403,2021-04-03,2021,2,4,3,13,6,True,False,False
